theta,item,info,a,b,c
-5,IRPM.212,0.000008754513109660151,1.43616,-0.2946,0.24
-5,IRPM.43,0.00000862923334838806,1.33926,-0.0011,0.24
-5,IRPM.4,0.000008491856843605663,1.64373,-0.7971,0.24
-5,IRPM.393,0.00000842571987406198,1.6456,-0.7988,0.24
-5,IRPM.101,0.000008248569942043943,1.04312,1.1992,0.24
-5,IRPM.73,0.000008078185045059602,1.54972,-0.5641,0.24
-5,IRPM.410,0.0000076056517723439045,1.48172,-0.3705,0.24
-5,IRPM.276,0.000007109339129141702,1.3107,0.1655,0.24
-5,IRPM.159,0.000007085508394267449,1.60854,-0.6622,0.24
-5,IRPM.404,0.0000069452248404790474,1.53646,-0.4821,0.24
-5,IRPM.249,0.000006678253399738304,1.72499,-0.8972,0.24
-5,IRPM.125,0.000006378029847230047,1.57862,-0.5585,0.24
-5,IRPM.355,0.000006303343077633004,1.54496,-0.4719,0.24
-5,IRPM.3,0.000006244401616595021,1.73706,-0.9023,0.24
-5,IRPM.146,0.00000595349080426144,1.35507,0.0867,0.24
-5,IRPM.436,0.0000057854980677535415,1.48274,-0.2807,0.24
-5,IRPM.116,0.000005728751581289515,1.20683,0.6312,0.24
-5,IRPM.8,0.000005634818322888,1.72006,-0.8376,0.24
-5,IRPM.204,0.000005332228424783989,1.52405,-0.3637,0.24
-5,IRPM.106,0.000005298467801397184,1.39519,0.0033,0.24
-5,IRPM.309,0.000005222450292192463,1.7102,-0.7947,0.24
-5,IRPM.375,0.000005220999028503347,1.73383,-0.844,0.24
-5,IRPM.491,0.000005096781653380352,1.61602,-0.5772,0.24
-5,IRPM.399,0.000005027683775810269,1.16433,0.8621,0.24
-5,IRPM.394,0.000004862165659815584,1.44517,-0.1155,0.24
-5,IRPM.18,0.000004619387624104657,1.1815,0.8253,0.24
-5,IRPM.83,0.000004571538297045184,1.48733,-0.2138,0.24
-5,IRPM.412,0.000004547105312530729,1.48614,-0.2087,0.24
-5,IRPM.235,0.000004440283858931495,1.58695,-0.4641,0.24
-5,IRPM.475,0.000004344886777542644,1.2818,0.4572,0.24
-5,IRPM.20,0.000004162487470508612,1.5997,-0.475,0.24
-5,IRPM.246,0.000003925032992498901,1.60803,-0.4769,0.24
-5,IRPM.183,0.000003861843680125471,1.55584,-0.3412,0.24
-5,IRPM.48,0.000003858920010710164,1.6422,-0.553,0.24
-5,IRPM.347,0.0000034668451878433176,1.47237,-0.0779,0.24
-5,IRPM.108,0.0000034361871544244347,1.70357,-0.6575,0.24
-5,IRPM.227,0.0000032071990563339736,1.55295,-0.2738,0.24
-5,IRPM.185,0.000003176222665050209,1.3073,0.486,0.24
-5,IRPM.208,0.0000031490937920977594,1.69592,-0.6148,0.24
-5,IRPM.214,0.0000030966873188364928,1.28248,0.5871,0.24
-5,IRPM.405,0.0000030799095179388463,1.4756,-0.047,0.24
-5,IRPM.287,0.0000030570025627116134,1.50042,-0.1153,0.24
-5,IRPM.349,0.000003049889886836828,1.50059,-0.115,0.24
-5,IRPM.368,0.0000029825204985491216,1.80999,-0.8401,0.24
-5,IRPM.392,0.000002937020687922501,1.64951,-0.4871,0.24
-5,IRPM.339,0.00000277965860490847,1.57165,-0.2768,0.24
-5,IRPM.501,0.0000027376528843383294,1.36493,0.3406,0.24
-5,IRPM.435,0.000002616820680221541,1.63319,-0.4127,0.24
-5,IRPM.258,0.0000025904910224600374,1.5929,-0.3092,0.24
-5,IRPM.30,0.000002590132699803268,1.34334,0.4352,0.24
-5,IRPM.247,0.0000025084232085606993,1.6014,-0.3207,0.24
-5,IRPM.316,0.00000242768493891796,1.73893,-0.6339,0.24
-5,IRPM.472,0.0000023018473844048107,1.39808,0.2933,0.24
-5,IRPM.161,0.000002225345067115877,1.38142,0.3607,0.24
-5,IRPM.500,0.000002122127198030849,1.632,-0.3455,0.24
-5,IRPM.192,0.000002116898551159714,1.50722,-0.0122,0.24
-5,IRPM.506,0.00000204665213113673,1.83158,-0.7797,0.24
-5,IRPM.55,0.0000019147724874890977,1.4586,0.166,0.24
-5,IRPM.275,0.0000018096128198923291,1.71768,-0.5014,0.24
-5,IRPM.469,0.0000017911076964918543,1.65512,-0.3507,0.24
-5,IRPM.7,0.0000015128114454754945,1.65104,-0.2895,0.24
-5,IRPM.89,0.0000014227075176788203,1.74165,-0.4862,0.24
-5,IRPM.198,0.0000013721362440009713,1.99291,-0.9785,0.24
-5,IRPM.327,0.000001339439967849905,1.56723,-0.032,0.24
-5,IRPM.416,0.0000012742347449506207,1.87918,-0.7467,0.24
-5,IRPM.92,0.0000012693584598634515,1.54751,0.0405,0.24
-5,IRPM.94,0.0000012121525749730222,1.69371,-0.3276,0.24
-5,IRPM.256,0.0000012083589840873863,1.50331,0.1858,0.24
-5,IRPM.263,0.0000012002398932506702,1.74641,-0.4482,0.24
-5,IRPM.80,0.0000011274246783106372,1.90417,-0.7634,0.24
-5,IRPM.425,0.0000010435524643858976,1.78585,-0.497,0.24
-5,IRPM.400,0.0000010327604854304564,1.38108,0.6402,0.24
-5,IRPM.359,0.0000010156223454957545,1.58219,0.0146,0.24
-5,IRPM.151,9.89950357390984e-7,1.87578,-0.6726,0.24
-5,IRPM.165,9.862408849796515e-7,1.63727,-0.1242,0.24
-5,IRPM.120,9.857909406808903e-7,1.56791,0.064,0.24
-5,IRPM.453,9.756489042903995e-7,1.87765,-0.6725,0.24
-5,IRPM.45,9.542879739740364e-7,1.45843,0.4056,0.24
-5,IRPM.118,9.496480471792214e-7,1.34623,0.7984,0.24
-5,IRPM.408,9.468801176235714e-7,1.62418,-0.0773,0.24
-5,IRPM.49,9.400130408044586e-7,1.51725,0.2271,0.24
-5,IRPM.77,9.18038704351711e-7,2.04289,-0.9663,0.24
-5,IRPM.445,8.763422663561718e-7,1.24032,1.2598,0.24
-5,IRPM.69,8.191527110099372e-7,1.73519,-0.3123,0.24
-5,IRPM.251,7.555241610021902e-7,1.65257,-0.083,0.24
